Time (s),ADC Buffer Value,Voltage (V)
0.92,574,1.852
1.94,577,1.861
2.96,451,1.455
3.97,219,0.706
4.99,219,0.706
6.01,27,0.087
7.02,0,0.0
8.04,244,0.787
9.06,607,1.958
